#K-Path          Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# NKPTS & NBANDS:  60  14
# Band-Index    1
   0.79391     -7.593138  0.035  0.000  0.027  0.074  0.000  0.000  0.001  0.000  0.000  0.138
   0.75539     -7.605800  0.035  0.000  0.027  0.075  0.000  0.000  0.001  0.000  0.000  0.138
   0.71687     -7.610030  0.035  0.000  0.027  0.075  0.000  0.000  0.001  0.000  0.000  0.138
   0.71687     -7.610030  0.035  0.000  0.027  0.075  0.000  0.000  0.001  0.000  0.000  0.138
   0.67914     -7.554878  0.044  0.000  0.028  0.074  0.000  0.000  0.002  0.000  0.000  0.146
   0.64141     -7.485122  0.054  0.000  0.028  0.074  0.000  0.000  0.000  0.000  0.000  0.156
   0.60368     -7.401725  0.062  0.000  0.028  0.074  0.000  0.000  0.000  0.000  0.000  0.166
   0.56595     -7.305837  0.074  0.000  0.028  0.072  0.000  0.000  0.000  0.000  0.000  0.176
   0.52822     -7.198768  0.084  0.000  0.030  0.072  0.000  0.000  0.000  0.000  0.000  0.184
   0.49049     -7.082000  0.094  0.000  0.032  0.070  0.000  0.000  0.000  0.000  0.000  0.194
   0.45276     -6.957178  0.104  0.000  0.034  0.066  0.000  0.000  0.000  0.000  0.000  0.204
   0.41503     -6.826131  0.114  0.000  0.036  0.064  0.000  0.000  0.000  0.000  0.000  0.214
   0.37730     -6.690918  0.124  0.000  0.038  0.060  0.000  0.000  0.000  0.000  0.000  0.222
   0.33957     -6.553860  0.136  0.000  0.042  0.054  0.000  0.000  0.000  0.000  0.000  0.232
   0.30184     -6.417569  0.146  0.000  0.046  0.048  0.000  0.000  0.000  0.000  0.000  0.240
   0.26411     -6.284989  0.154  0.000  0.050  0.042  0.000  0.000  0.000  0.000  0.000  0.248
   0.22638     -6.159409  0.164  0.000  0.056  0.034  0.000  0.000  0.000  0.000  0.000  0.256
   0.18865     -6.044405  0.172  0.000  0.062  0.026  0.000  0.000  0.000  0.000  0.000  0.262
   0.15092     -5.943687  0.180  0.000  0.070  0.020  0.000  0.000  0.000  0.000  0.000  0.268
   0.11319     -5.860876  0.186  0.000  0.076  0.012  0.000  0.000  0.000  0.000  0.000  0.274
   0.07546     -5.799188  0.190  0.000  0.080  0.006  0.000  0.000  0.000  0.000  0.000  0.278
   0.03773     -5.761124  0.194  0.000  0.084  0.002  0.000  0.000  0.000  0.000  0.000  0.280
   0.00000     -5.748259  0.194  0.000  0.086  0.000  0.000  0.000  0.000  0.000  0.000  0.280
 
# Band-Index    5
   0.00000     -3.887189  0.012  0.000  0.200  0.016  0.000  0.000  0.002  0.000  0.000  0.228
   0.03773     -3.888053  0.010  0.000  0.202  0.016  0.000  0.000  0.002  0.000  0.000  0.230
   0.07546     -3.889594  0.010  0.000  0.206  0.018  0.000  0.000  0.002  0.000  0.000  0.236
   0.11319     -3.889191  0.006  0.000  0.214  0.022  0.000  0.000  0.002  0.000  0.000  0.244
   0.15092     -3.883798  0.006  0.000  0.222  0.024  0.000  0.000  0.002  0.000  0.000  0.252
   0.18865     -3.870900  0.004  0.000  0.230  0.026  0.000  0.000  0.002  0.000  0.000  0.262
   0.22638     -3.848916  0.002  0.000  0.240  0.028  0.000  0.000  0.002  0.000  0.000  0.272
   0.26411     -3.817145  0.002  0.000  0.248  0.028  0.000  0.000  0.002  0.000  0.000  0.280
   0.30184     -3.775528  0.002  0.000  0.256  0.028  0.000  0.000  0.002  0.000  0.000  0.288
   0.33957     -3.724407  0.002  0.000  0.264  0.028  0.000  0.000  0.002  0.000  0.000  0.296
   0.37730     -3.664351  0.002  0.000  0.272  0.028  0.000  0.000  0.002  0.000  0.000  0.304
   0.41503     -3.596051  0.002  0.000  0.280  0.028  0.000  0.000  0.002  0.000  0.000  0.312
   0.45276     -3.520273  0.002  0.000  0.286  0.028  0.000  0.000  0.002  0.000  0.000  0.320
   0.49049     -3.437851  0.002  0.000  0.294  0.030  0.000  0.000  0.002  0.000  0.000  0.328
   0.52822     -3.349701  0.002  0.000  0.302  0.030  0.000  0.000  0.002  0.000  0.000  0.336
   0.56595     -3.256844  0.002  0.000  0.308  0.032  0.000  0.000  0.002  0.000  0.000  0.346
   0.60368     -3.160464  0.002  0.000  0.316  0.034  0.000  0.000  0.002  0.000  0.000  0.356
   0.64141     -3.061973  0.002  0.000  0.324  0.038  0.000  0.000  0.002  0.000  0.000  0.366
   0.67914     -2.963124  0.002  0.000  0.332  0.042  0.000  0.000  0.002  0.000  0.000  0.378
   0.71687     -2.866160  0.002  0.000  0.337  0.047  0.000  0.000  0.002  0.000  0.000  0.390
